City,Neighbourhood,Address,Property Type,Duration on market,Beds,Baths,Price,total_hours
Toronto,Pleasant View,37 Warfield Drive,Townhouse,0 days 06:00:00,3,2,1088000,6.0
Toronto,Don Valley Village,516-20 Bloorview Place,Condo,0 days 06:00:00,2,2,788000,6.0
Toronto,Niagara,613-1030 King Street W,Condo,0 days 06:00:00,2,2,769000,6.0
Niagara Falls,No data,1195 Green Acres Drive,House,0 days 00:00:00,4,4,999900,128.61731919521478
Toronto,Moss Park,505-120 Parliament Street,Condo,0 days 06:00:00,2,2,829000,6.0
Fort Erie,No data,1195 Green Acres Drive,House,0 days 00:00:00,4,4,999900,128.61731919521478
Toronto,Mimico,39 Hillside Avenue,House,0 days 06:00:00,3,2,1198000,6.0
Markham,Berczy,9956 Mccowan Road,Townhouse,0 days 06:00:00,3,3,1199888,6.0
Markham,Berczy,7 Manila Avenue,House,0 days 06:00:00,4,6,2577000,6.0
Toronto,Broadview North,10 Mortimer Avenue,House,0 days 06:00:00,3,2,1299000,6.0
Clarington,Bowmanville,2098 Nash Road,House,0 days 06:00:00,4,3,1399900,6.0
Toronto,Malvern,37 Cheatham Place,Townhouse,0 days 06:00:00,3,3,749988,6.0
Toronto,Oakwood Village,56 Blandford Street,Townhouse,0 days 06:00:00,3,2,998000,6.0
Toronto,No data,541 Steeles Avenue West,No data,0 days 00:00:00,3,3,799000,128.61731919521478
Markham,Bullock,107 Robinson Street,House,0 days 06:00:00,5,5,3250000,6.0
Markham,Berczy,206 Madison Heights Boulevard,House,0 days 06:00:00,3,4,1599800,6.0
Vaughan,Crestwood-Springfarm-Yorkhill,74 Glenmanor Way,House,0 days 06:00:00,3,3,1199000,6.0
Oshawa,Samac,1651 Canadore Crescent,House,0 days 06:00:00,3,3,799900,6.0
Oshawa,Vanier,602 Gibb Street,House,0 days 06:00:00,3,2,599900,6.0
Pickering,Liverpool,1583 Heathside Crescent,House,0 days 06:00:00,4,3,1100000,6.0
St. Catharines,E. Chester,78 Argyle Crescent,House,0 days 07:00:00,2,1,499900,7.0
Toronto,Clanton Park,431-701 Sheppard Avenue W,Condo,0 days 07:00:00,2,2,899000,7.0
Fort Erie,No data,707 Niagara Boulevard,Townhouse,0 days 06:00:00,3,2,1100000,6.0
Toronto,Mimico,65 Struthers Street,House,0 days 00:00:00,3,5,2489000,128.61731919521478
Clarington,Bowmanville,14 Freeland Avenue,House,0 days 07:00:00,3,2,849900,7.0
Whitby,Blue Grass Meadows,502 Powell Road,House,0 days 00:00:00,4,4,1199000,128.61731919521478
Toronto,Leaside,535 Broadway Avenue,House,0 days 07:00:00,2,3,1499000,7.0
Thorold,No data,19 1/2 Ormond Street N,No data,0 days 00:00:00,3,3,529000,128.61731919521478
Toronto,Brookhaven-Amesbury,207-1461 Lawrence Avenue W Avenue W,Condo,0 days 06:00:00,2,2,638999,6.0
Markham,Unionville,103A-10 Rouge Valley Drive W,Condo,0 days 07:00:00,2,3,880000,7.0
Toronto,Tam O'Shanter-Sullivan,38 King Henry's Boulevard,Condo,0 days 07:00:00,3,3,968000,7.0
Toronto,Woburn,2837-68 Corporate Drive,No data,0 days 07:00:00,1,1,578000,7.0
Toronto,Church-Yonge Corridor,1902-101 Charles Street E,Condo,0 days 00:00:00,1,1,946888,128.61731919521478
Toronto,Bay Street Corridor,42 Irwin Avenue,Condo,0 days 00:00:00,2,2,998800,128.61731919521478
Toronto,Regent Park,602-1 Cole Street,Condo,0 days 07:00:00,2,2,850000,7.0
Toronto,Niagara,204-670 Richmond Street,Condo,0 days 07:00:00,2,2,1699990,7.0
Toronto,Church-Yonge Corridor,5614-197 Yonge Street,Condo,0 days 07:00:00,1,1,799900,7.0
Toronto,Yorkdale-Glen Park,260 Hillmount Avenue,House,0 days 07:00:00,3,3,1499000,7.0
Toronto,South Parkdale,78 Dunn Avenue,House,0 days 07:00:00,4,2,1449000,7.0
Richmond Hill,Mill Pond,76 Oxford Street,House,0 days 07:00:00,4,3,1990000,7.0
Vaughan,Rural Vaughan,170 Athabasca Drive,House,0 days 07:00:00,5,7,3488000,7.0
Toronto,Wexford-Maryvale,66 Murray Glen Drive,House,0 days 06:00:00,3,4,999888,6.0
Ajax,Northeast Ajax,12 Elliottglen Drive,House,0 days 00:00:00,4,4,1650000,128.61731919521478
Toronto,Lawrence Park South,50 Craighurst Avenue,Townhouse,0 days 05:00:00,3,3,1799000,5.0
Toronto,Niagara,205-69 Lynn Williams Street,Condo,0 days 07:00:00,1,1,548000,7.0
Toronto,Waterfront Communities C8,S401-455 Front Street E,Condo,0 days 07:00:00,1,1,549900,7.0
Niagara Falls,No data,5492 Highland Avenue,House,0 days 07:00:00,3,2,500000,7.0
Vaughan,Patterson,217 Israel Zilber Drive,House,0 days 07:00:00,5,5,2488000,7.0
Toronto,Cliffcrest,25 Andrew Avenue,House,0 days 07:00:00,3,2,999888,7.0
Oshawa,Pinecrest,932 Grandview Street N,House,0 days 07:00:00,4,3,949900,7.0
Toronto,High Park-Swansea,1611-45 Southport Street,Condo,0 days 08:00:00,2,2,709900,8.0
Toronto,Agincourt South-Malvern West,1304-125 Village Green Square,Condo,0 days 08:00:00,2,2,780000,8.0
Toronto,Woburn,1611-11 Lee Centre Drive,Condo,0 days 08:00:00,2,2,649900,8.0
Toronto,Niagara,706-15 Stafford Street,Condo,0 days 07:00:00,1,1,649000,7.0
Richmond Hill,Rouge Woods,185 Farmstead Road,House,0 days 07:00:00,4,4,2198000,7.0
Markham,Wismer,49 Barnstone Drive,House,0 days 07:00:00,3,3,1690000,7.0
Vaughan,Maple,15 Ardwell Crescent,House,0 days 07:00:00,3,3,1499000,7.0
Ajax,South East,3 Gates Crescent,Townhouse,0 days 07:00:00,3,3,975000,7.0
Toronto,Rouge E10,43 Mastwood Crescent,House,0 days 07:00:00,3,4,1388800,7.0
Toronto,Rosedale-Moore Park,75 Mathersfield Drive,House,0 days 05:00:00,4,5,5800000,5.0
Welland,N. Welland,112 Chapel Hill Crescent,House,0 days 08:00:00,4,2,549900,8.0
Toronto,Mimico,615-251 Manitoba Street,Condo,0 days 08:00:00,2,2,860000,8.0
Ajax,South West,604-45 Cumberland Lane,Condo,0 days 08:00:00,2,1,649900,8.0
Pickering,Town Centre,1710-1000 The Esplanade Road N,Condo,0 days 08:00:00,2,2,749900,8.0
Whitby,Blue Grass Meadows,29-1610 Crawforth Street,Condo,0 days 08:00:00,3,4,929900,8.0
Toronto,Cabbagetown-South St. James Town,PH53-313 Richmond Street E,Condo,0 days 08:00:00,1,1,599000,8.0
Toronto,Niagara,711-30 Ordnance Street,Condo,0 days 08:00:00,2,2,899000,8.0
Toronto,Waterfront Communities C1,2504-12 York Street,Condo,0 days 08:00:00,2,2,1198888,8.0
Toronto,Flemingdon Park,2001-2 Sonic Way,Condo,0 days 08:00:00,1,1,699900,8.0
Toronto,Niagara,519-75 East Liberty Street,Condo,0 days 08:00:00,2,2,749900,8.0
Toronto,Dovercourt-Wallace Emerson-Junction,3 Armstrong Avenue,Townhouse,0 days 08:00:00,3,3,1799000,8.0
Toronto,East End-Danforth,347 Main Street,House,0 days 08:00:00,3,2,999000,8.0
Toronto,Rouge E10,103 Greybeaver Trail,House,0 days 05:00:00,4,4,1375000,5.0
Toronto,Casa Loma,621 Davenport Road,House,0 days 05:00:00,3,2,1895000,5.0
Toronto,Willowdale East,427 Empress Avenue,House,0 days 00:00:00,5,4,2688000,128.61731919521478
Pickering,Village East,5-1701 Finch Avenue,Condo,0 days 08:00:00,3,3,899777,8.0
Toronto,Wexford-Maryvale,PH07-2152 Lawrence Avenue E,Condo,0 days 08:00:00,2,1,549999,8.0
Toronto,Newtonbrook West,69-541 Steeles Avenue W,Condo,0 days 08:00:00,3,3,799000,8.0
St. Catharines,E. Chester,43 Perth Street,House,0 days 03:00:00,3,3,450000,3.0
Niagara Falls,Marineland,7738 Shaw Street,Townhouse,0 days 08:00:00,3,3,799900,8.0
Fort Erie,No data,2043 Garrison Road,House,0 days 00:00:00,3,2,2199000,128.61731919521478
Welland,No data,840 South Pelham Road,House,0 days 08:00:00,3,3,738900,8.0
Vaughan,Patterson,106 Via Romano Boulevard,House,0 days 05:00:00,4,5,2899000,5.0
Ajax,Central,45 Booth Crescent,Townhouse,0 days 05:00:00,3,4,899999,5.0
Toronto,Yonge-St. Clair,34 Sidney Street,House,0 days 05:00:00,3,4,2399000,5.0
Niagara Falls,Hospital,5651 Woodland Boulevard,House,0 days 08:00:00,4,2,729999,8.0
Toronto,Forest Hill South,207-60 Montclair Avenue,Condo,0 days 08:00:00,2,1,799000,8.0
Toronto,Bay Street Corridor,1904-832 Bay Street,Condo,0 days 05:00:00,1,1,649900,5.0
St. Catharines,No data,26 Duke Street,Townhouse,0 days 08:00:00,4,4,1649900,8.0
Clarington,Bowmanville,22 Jerome Way,Townhouse,0 days 08:00:00,4,3,899000,8.0
Whitby,Pringle Creek,117 Ribblesdale Drive,House,0 days 08:00:00,3,2,669900,8.0
Toronto,Leaside,187 Rumsey Road,House,0 days 08:00:00,3,4,2195000,8.0
Toronto,Willowdale East,138 Olive Avenue,House,0 days 08:00:00,3,2,1749888,8.0
Markham,Royal Orchard,63 Cricklewood Crescent,Condo,0 days 09:00:00,3,5,999000,9.0
Whitby,Port Whitby,111-340 Watson Street W,Condo,0 days 08:00:00,1,1,648000,8.0
Toronto,Waterfront Communities C1,2705-295 Adelaide Street W,Condo,0 days 08:00:00,1,1,799900,8.0
Toronto,Niagara,2605-600 Fleet Street,Condo,0 days 08:00:00,2,2,850000,8.0
Toronto,Waterfront Communities C1,2507-85 Queens Wharf Road,Condo,0 days 08:00:00,1,1,768888,8.0
Port Colborne,Bethel,2868 June Road,House,0 days 09:00:00,2,1,429000,9.0
Toronto,Beechborough-Greenbrook,7 Westacres Drive,House,0 days 08:00:00,4,4,2499000,8.0
Markham,Bullock,80 Sherwood Forest Drive,Townhouse,0 days 08:00:00,4,2,1199000,8.0
Richmond Hill,Crosby,124 Crosby Avenue,House,0 days 08:00:00,4,4,1198000,8.0
Whitby,Rural Whitby,106 Coronation Road,Townhouse,0 days 05:00:00,3,3,999900,5.0
Clarington,Bowmanville,102 King William Way,Townhouse,0 days 05:00:00,3,3,699900,5.0
Toronto,Moss Park,298 Berkeley Street,House,0 days 05:00:00,3,2,2598000,5.0
Toronto,No data,55 Ontario Street,No data,0 days 00:00:00,1,1,658800,128.61731919521478
Richmond Hill,Doncrest,313-8501 Bayview Avenue,Condo,0 days 05:00:00,2,2,788888,5.0
Toronto,Bendale,3511-50 Town Centre Court,Condo,0 days 09:00:00,1,1,699900,9.0
Toronto,North Riverdale,105-525 Logan Avenue,Condo,0 days 09:00:00,1,2,1198000,9.0
Toronto,Moss Park,3812-251 Jarvis Street,Condo,0 days 09:00:00,1,1,699999,9.0
Toronto,Willowdale East,2111-23 Sheppard Avenue E,Condo,0 days 00:00:00,1,1,699000,128.61731919521478
Niagara Falls,No data,4760 Victor Drive,House,0 days 09:00:00,3,3,1580000,9.0
St. Catharines,No data,21 Oxford Street,House,0 days 09:00:00,3,2,899900,9.0
Whitby,Rolling Acres,46 Falstaff Crescent,House,0 days 00:00:00,4,4,1188000,128.61731919521478
Ajax,South East,78 Harland Crescent,House,0 days 05:00:00,4,2,1250000,5.0
Toronto,Kennedy Park,109 Foxridge Drive,House,0 days 00:00:00,3,2,1000000,128.61731919521478
Toronto,Trinity-Bellwoods,356 Euclid Avenue,Townhouse,0 days 05:00:00,4,2,2298000,5.0
Toronto,Palmerston-Little Italy,437 Crawford Street,Townhouse,0 days 05:00:00,5,2,1498000,5.0
Toronto,Mimico,913-2261 Lake Shore Boulevard W,Condo,0 days 09:00:00,1,1,649000,9.0
Richmond Hill,Langstaff,1006-75 King William Crescent,Condo,0 days 09:00:00,1,1,599000,9.0
Toronto,Regent Park,705-1 Cole Street,Condo,0 days 09:00:00,1,1,599900,9.0
Toronto,Bayview Village,610-19 Singer Court,Condo,0 days 09:00:00,1,1,619900,9.0
Niagara-on-the-lake,Town,540 Simcoe Street,House,0 days 09:00:00,5,5,4200000,9.0
Toronto,Church-Yonge Corridor,UPH1-298 Jarvis Street,Condo,0 days 09:00:00,1,2,565000,9.0
Toronto,Waterfront Communities C1,UPH10-21 Nelson Street,Condo,0 days 09:00:00,2,3,1749000,9.0
Port Colborne,Durham St,355 Fares Street,Townhouse,0 days 09:00:00,4,2,699900,9.0
Vaughan,Patterson,131 Arianna Crescent,Townhouse,0 days 05:00:00,3,4,1739000,5.0
Toronto,East End-Danforth,84 Whistle Post Street,Townhouse,0 days 05:00:00,3,3,1499000,5.0
Ajax,South West,85 Frazer Road,No data,0 days 05:00:00,3,4,748999,5.0
Toronto,Lawrence Park South,212 Dinnick Crescent,House,0 days 05:00:00,4,6,4750000,5.0
Toronto,Pleasant View,29 Clipper Road,Townhouse,0 days 05:00:00,3,3,1338000,5.0
Toronto,Mimico,1514-30 Shore Breeze Drive,Condo,0 days 09:00:00,1,1,649990,9.0
Richmond Hill,Langstaff,1802-75 Oneida Crescent,No data,0 days 09:00:00,1,1,599999,9.0
Toronto,Willowdale East,PH1-20 Olive Avenue,Condo,0 days 09:00:00,1,1,649888,9.0
Toronto,Regent Park,2706W-225 Sumach Street,Condo,0 days 05:00:00,1,1,695000,5.0
Niagara-on-the-lake,No data,4 Settlers Court,House,0 days 09:00:00,5,5,1590000,9.0
Richmond Hill,North Richvale,24 Wainwright Avenue,House,0 days 00:00:00,4,3,1888000,128.61731919521478
Toronto,Milliken,78 Truro Crescent,House,0 days 05:00:00,3,3,999000,5.0
Pickering,Amberlea,628 Springview Drive,House,0 days 05:00:00,4,3,1500000,5.0
Ajax,South East,33 Gates Crescent,Townhouse,0 days 05:00:00,3,2,914900,5.0
Toronto,Bendale,2 Wincrest Drive,House,0 days 05:00:00,3,1,999900,5.0
Toronto,No data,18 Mondeo Drive,No data,0 days 00:00:00,1,1,529000,128.61731919521478
Toronto,Mimico,611-2200 Lake Shore Boulevard W,Condo,0 days 10:00:00,2,2,799900,10.0
Toronto,West Hill,4-110 Ling Road,Condo,0 days 10:00:00,3,1,669999,10.0
Toronto,Woburn,601-30 Meadowglen Place,Condo,0 days 10:00:00,1,2,649000,10.0
Toronto,Annex,PH06-1 Yorkville Avenue,Condo,0 days 10:00:00,2,3,2600000,10.0
Toronto,Mount Pleasant West,802-68 Merton Street,Condo,0 days 10:00:00,1,2,649990,10.0
Niagara Falls,W. Way / Ascot,8186 Aintree Drive,House,0 days 10:00:00,4,2,749000,10.0
Toronto,Roncesvalles,114 Macdonell Avenue,House,0 days 10:00:00,2,1,999000,10.0
Toronto,South Parkdale,25 Tyndall Avenue,House,0 days 09:00:00,4,5,1989000,9.0
Markham,German Mills,204 Simonston Boulevard,House,0 days 09:00:00,3,3,1088000,9.0
Vaughan,Uplands,228 Glenforest Drive,House,0 days 09:00:00,4,4,1999000,9.0
Markham,Wismer,24 Greenspire Avenue,Townhouse,0 days 05:00:00,3,4,1199000,5.0
Vaughan,Maple,44 Largo Crescent,House,0 days 05:00:00,3,4,1299900,5.0
Vaughan,Maple,44 Largo Crescent,House,0 days 05:00:00,3,4,1299900,5.0
Toronto,Woburn,19 Abbeville Road,House,0 days 05:00:00,3,2,1249000,5.0
Toronto,Rouge E11,92 Hummingbird Drive,Townhouse,0 days 05:00:00,3,3,1149000,5.0
Oshawa,Northglen,709 Westdale Court,House,0 days 05:00:00,3,4,999900,5.0
Toronto,Bedford Park-Nortown,140 Caribou Road,House,0 days 05:00:00,5,6,3580000,5.0
Toronto,York University Heights,324-1060 Sheppard Avenue W,Condo,0 days 10:00:00,1,1,699000,10.0
St. Catharines,Martindale Pond,308 Main Street,House,0 days 10:00:00,4,2,950000,10.0
Ajax,South East,1506-44 Falby Court,Condo,0 days 10:00:00,2,2,499000,10.0
Pickering,Liverpool,25-1350 Glenanna Road,Condo,0 days 00:00:00,3,2,649800,128.61731919521478
Toronto,Waterfront Communities C1,908-218 Queens Quay W,Condo,0 days 00:00:00,1,1,779000,128.61731919521478
Richmond Hill,Jefferson,35 Westcliffe Crescent,Townhouse,0 days 10:00:00,3,3,1230000,10.0
Markham,Middlefield,7 Angela Court,House,0 days 10:00:00,4,3,1289000,10.0
Toronto,The Beaches,174 Balsam Avenue,House,0 days 10:00:00,3,4,2399999,10.0
Toronto,Steeles,85 River Grove Drive,House,0 days 10:00:00,4,4,1728000,10.0
Oshawa,Eastdale,745 Ascot Avenue,House,0 days 10:00:00,3,2,849000,10.0
Ajax,Central West,1 Hewison Court,House,0 days 10:00:00,4,4,1699900,10.0
